product_id,product_name,category,subcategory,model_code,capacity,variant,mapping_confidence,docx_verification
PROD-027,T-7701 Single Phase (6-10KVA),UPS Solutions,Inverters,IH1008W10400S,8kVA/8kW,,conflict,not_in_docx_conflict
PROD-027,T-7701 Single Phase (6-10KVA),UPS Solutions,Inverters,H1010W10400S,10kVA/10kW,,conflict,not_in_docx_conflict
PROD-028,T-7701 Single Phase (3-5KVA),UPS Solutions,Inverters,IH1003R10200M,3KVA/3KW,,conflict,not_in_docx_conflict
PROD-028,T-7701 Single Phase (3-5KVA),UPS Solutions,Inverters,IH1003W10200M,3KVA/3KW,,conflict,not_in_docx_conflict
PROD-028,T-7701 Single Phase (3-5KVA),UPS Solutions,Inverters,IH1005R10400M,5KVA/5KW,,conflict,not_in_docx_conflict
PROD-028,T-7701 Single Phase (3-5KVA),UPS Solutions,Inverters,IH1005W10400M,5KVA/5KW,,conflict,not_in_docx_conflict
PROD-029,T-7701 Single Phase (11KVA),UPS Solutions,Inverters,IH1011W10400C,11000VA/11000W,,conflict,not_in_docx_conflict
PROD-030,T-7703 Three Phase (8-20KVA),UPS Solutions,Inverters,H3010W10400M,10kVA/10kW,,conflict,not_in_docx_conflict
PROD-030,T-7703 Three Phase (8-20KVA),UPS Solutions,Inverters,IH3012W10400M,12kVA/12kW,,conflict,not_in_docx_conflict
PROD-030,T-7703 Three Phase (8-20KVA),UPS Solutions,Inverters,IH3015W10400M,15kVA/15kW,,conflict,not_in_docx_conflict
PROD-030,T-7703 Three Phase (8-20KVA),UPS Solutions,Inverters,IH3020W10400M,20kVA/20kW,,conflict,not_in_docx_conflict
PROD-031,STS Single Phase (16-32A),UPS Solutions,Accessories,STS22016,16A,,verified,docx_datasheet
PROD-031,STS Single Phase (16-32A),UPS Solutions,Accessories,STS22032,32A,,verified,docx_datasheet
PROD-032,STS Three Phase (25-200A),UPS Solutions,Accessories,STS380025,25A,,conflict,not_in_docx_conflict
PROD-032,STS Three Phase (25-200A),UPS Solutions,Accessories,STS380032,32A,,conflict,not_in_docx_conflict
PROD-032,STS Three Phase (25-200A),UPS Solutions,Accessories,STS380045,45A,,conflict,not_in_docx_conflict
PROD-032,STS Three Phase (25-200A),UPS Solutions,Accessories,STS380063,63A,,conflict,not_in_docx_conflict
PROD-032,STS Three Phase (25-200A),UPS Solutions,Accessories,STS380100,100A,,conflict,not_in_docx_conflict
PROD-032,STS Three Phase (25-200A),UPS Solutions,Accessories,STS380160,160A,,conflict,not_in_docx_conflict
PROD-032,STS Three Phase (25-200A),UPS Solutions,Accessories,STS380200,200A,,conflict,not_in_docx_conflict
PROD-036,Li-ion Battery 48VDC-100Ah,Battery Storage Systems,Lithium-ion Battery Packs,RB-LI-48-100,48VDC / 100Ah,,conflict,not_in_docx_conflict
PROD-037,Li-ion Battery 512VDC-100Ah,Battery Storage Systems,Lithium-ion Battery Packs,RB-LI-410-50,409.8VDC / 50Ah,,conflict,not_in_docx_conflict
PROD-037,Li-ion Battery 512VDC-100Ah,Battery Storage Systems,Lithium-ion Battery Packs,RB-LI-512-50,512VDC / 50Ah,,conflict,not_in_docx_conflict
PROD-037,Li-ion Battery 512VDC-100Ah,Battery Storage Systems,Lithium-ion Battery Packs,RB-LI-410-100,409.8VDC / 100Ah,,conflict,not_in_docx_conflict
PROD-037,Li-ion Battery 512VDC-100Ah,Battery Storage Systems,Lithium-ion Battery Packs,RB-LI-512-100,512VDC / 100Ah,,conflict,not_in_docx_conflict
PROD-038,Li-ion Battery 480VDC-100Ah,Battery Storage Systems,Lithium-ion Battery Packs,(not listed in source),,,range_only,product_name_only
PROD-039,Li-ion Battery 512VDC-200Ah,Battery Storage Systems,Lithium-ion Battery Packs,RB-LI-512-200,512VDC / 200Ah,,conflict,not_in_docx_conflict
PROD-040,AVR-1001 Single Phase (1-10KVA),Automatic Voltage Regulators,Servo AVR,R100123223S,1KVA,,verified,docx_datasheet
PROD-040,AVR-1001 Single Phase (1-10KVA),Automatic Voltage Regulators,Servo AVR,R100223223S,2KVA,,verified,docx_datasheet
PROD-040,AVR-1001 Single Phase (1-10KVA),Automatic Voltage Regulators,Servo AVR,R100323223S,3KVA,,verified,docx_datasheet
PROD-040,AVR-1001 Single Phase (1-10KVA),Automatic Voltage Regulators,Servo AVR,R100523223S,5KVA,,verified,docx_datasheet
PROD-040,AVR-1001 Single Phase (1-10KVA),Automatic Voltage Regulators,Servo AVR,R101023223S,10KVA,,verified,docx_datasheet
PROD-041,AVR-1001 Single Phase (20-30KVA),Automatic Voltage Regulators,Servo AVR,R102023223S,20KVA,,verified,docx_datasheet
PROD-041,AVR-1001 Single Phase (20-30KVA),Automatic Voltage Regulators,Servo AVR,R103023223S,30KVA,,verified,docx_datasheet
PROD-042,AVR-1002 Three Phase (10-80KVA),Automatic Voltage Regulators,Servo AVR,R300140240S,10KVA,,verified,docx_datasheet
PROD-042,AVR-1002 Three Phase (10-80KVA),Automatic Voltage Regulators,Servo AVR,R300240240S,20KVA,,verified,docx_datasheet
PROD-042,AVR-1002 Three Phase (10-80KVA),Automatic Voltage Regulators,Servo AVR,R300340240S,30KVA,,verified,docx_datasheet
PROD-042,AVR-1002 Three Phase (10-80KVA),Automatic Voltage Regulators,Servo AVR,R300540240S,50KVA,,verified,docx_datasheet
PROD-042,AVR-1002 Three Phase (10-80KVA),Automatic Voltage Regulators,Servo AVR,R300840240S,80KVA,,verified,docx_datasheet
PROD-043,AVR-1002 Three Phase (100-3000KVA),Automatic Voltage Regulators,Servo AVR,R301040240S,100KVA,,verified,docx_datasheet
PROD-043,AVR-1002 Three Phase (100-3000KVA),Automatic Voltage Regulators,Servo AVR,R301240240S,120KVA,,verified,docx_datasheet
PROD-043,AVR-1002 Three Phase (100-3000KVA),Automatic Voltage Regulators,Servo AVR,R301540240S,150KVA,,verified,docx_datasheet
PROD-043,AVR-1002 Three Phase (100-3000KVA),Automatic Voltage Regulators,Servo AVR,R302040240S,200KVA,,verified,docx_datasheet
PROD-043,AVR-1002 Three Phase (100-3000KVA),Automatic Voltage Regulators,Servo AVR,R302540240S,250KVA,,verified,docx_datasheet
